search-EXP-20210617-122843,F,0
search-EXP-20210617-130215,F,0
search-EXP-20210617-135506,F,12
search-EXP-20210701-194132,F,None
search-EXP-20210701-194648,F,45
search-EXP-20210702-010117,F,5
search-EXP-20210702-104927,F,None
search-EXP-20210702-105012,F,0
search-EXP-20210702-115341,T,0
search-EXP-20210702-123834,F,0
search-EXP-20210702-133937,F,0
search-EXP-20210702-134234,T,0
search-EXP-20210702-135157,T,0
search-EXP-20210702-141855,F,1
search-EXP-20210702-143250,T,1
search-EXP-20210702-144640,T,0
search-EXP-20210702-145131,F,4
search-EXP-20210706-134311,F,0
search-EXP-20210706-135649,F,1
search-EXP-20210715-133717,F,0
search-EXP-20210715-134155,F,0
search-EXP-20210715-134514,F,0
search-EXP-20210715-135748,F,0
search-EXP-20210715-140438,F,0
search-EXP-20210715-140915,F,14
search-EXP-20210720-125049,T,4
search-EXP-20210720-134430,F,0
search-EXP-20210720-134830,F,0
search-EXP-20210720-135522,F,4
search-EXP-20210720-143750,T,4
search-EXP-20210721-130044,F,3
search-EXP-20210721-133656,F,4
search-EXP-20210721-143427,F,8
search-EXP-20210723-145746,T,19
search-EXP-20210727-120452,F,0
search-EXP-20210727-125928,F,25
search-EXP-20210727-191456,F,5
search-EXP-20210728-132918,F,None
search-EXP-20210728-134535,F,None
search-EXP-20210728-143924,F,9
search-EXP-20210728-154945,F,0
search-EXP-20210729-124244,F,2
search-EXP-20210729-190452,F,1
search-EXP-20210730-143355,F,1
search-EXP-20210802-122008,F,1
search-EXP-20210802-124937,F,10
search-EXP-20210802-134944,F,5
search-EXP-20210802-141530,F,1
search-EXP-20210802-142147,F,1
search-EXP-20210802-142758,F,3
search-EXP-20210802-143034,F,3
search-EXP-20210802-145527,F,9
search-EXP-20210802-154554,F,3
search-EXP-20210802-160329,F,0
search-EXP-20210802-160956,F,0
search-EXP-20210802-161601,F,0
search-EXP-20210802-161943,F,0
search-EXP-20210802-162702,F,0
search-EXP-20210802-163332,F,0
search-EXP-20210802-163928,F,0
search-EXP-20210802-164413,F,0
search-EXP-20210802-165255,F,25
search-EXP-20210802-190826,F,1
search-EXP-20210802-195627,F,1
search-EXP-20210802-200927,F,None
search-EXP-20210802-201147,F,2
search-EXP-20210802-202548,F,5
search-EXP-20210802-205039,F,6
search-EXP-20210802-211940,F,7
search-EXP-20210802-215342,F,6
search-EXP-20210802-222237,F,0
search-EXP-20210802-222911,F,1
search-EXP-20210802-224203,F,2
search-EXP-20210802-225719,F,5
search-EXP-20210802-232225,F,1
search-EXP-20210802-233228,T,39
search-EXP-20210803-032732,F,2
search-EXP-20210803-112737,F,10
search-EXP-20210804-141249,F,23
search-EXP-20210804-161329,F,1
search-EXP-20210804-162500,F,6
search-EXP-20210804-165346,F,5
search-EXP-20210804-171850,F,0
search-EXP-20210804-172513,F,3
search-EXP-20210804-174247,F,1
search-EXP-20210804-175250,F,0
search-EXP-20210804-180203,F,11
search-EXP-20210804-184947,F,0
search-EXP-20210804-185847,F,2
search-EXP-20210804-191402,F,2
search-EXP-20210804-192754,F,7
search-EXP-20210804-200335,T,39
search-EXP-20210804-235130,F,5
search-EXP-20210805-001908,F,8
search-EXP-20210805-005547,F,2
search-EXP-20210805-011104,F,3
search-EXP-20210805-012838,F,8
search-EXP-20210805-020456,F,3
search-EXP-20210805-022232,F,2
search-EXP-20210805-023618,F,2
search-EXP-20210805-025007,T,39
search-EXP-20210805-064138,F,2
search-EXP-20210805-142324,F,1
search-EXP-20210805-143331,F,1
search-EXP-20210805-144503,F,8
search-EXP-20210805-152111,F,3
search-EXP-20210805-153851,F,3
search-EXP-20210805-155627,F,None
search-EXP-20210805-155844,F,5
search-EXP-20210805-183405,F,14
search-EXP-20210805-193648,F,1
search-EXP-20210805-194646,F,3
search-EXP-20210805-200410,F,2
search-EXP-20210805-201803,F,0
search-EXP-20210805-223423,F,4
search-EXP-20210805-225540,F,16
search-EXP-20210806-000901,F,18
search-EXP-20210806-013541,F,2
search-EXP-20210806-014934,F,1
search-EXP-20210806-015942,F,0
search-EXP-20210806-020819,F,6
search-EXP-20210806-023609,F,6
search-EXP-20210806-030937,F,1
search-EXP-20210806-031946,F,1
search-EXP-20210806-032954,F,11
search-EXP-20210806-041848,F,4
search-EXP-20210806-044038,F,6
search-EXP-20210806-050921,F,8
search-EXP-20210806-054544,F,3
